method,orbital_period,mass,distance,year,era
radial velocity,269.3,7.1,77.4,2006,2000-2010
radial velocity,874.774,2.21,56.95,2008,2000-2010
radial velocity,763.0,2.6,19.84,2011,Post-2010
radial velocity,326.03,19.4,110.62,2007,2000-2010
radial velocity,516.22,10.5,119.47,2009,2000-2010
radial velocity,185.84,4.8,76.39,2008,2000-2010
radial velocity,1773.4,4.64,18.15,2002,2000-2010
radial velocity,798.5,1.26,21.41,1996,Pre-2000
radial velocity,993.3,10.3,73.1,2008,2000-2010
radial velocity,452.8,1.99,74.79,2010,Post-2010
radial velocity,883.0,0.86,74.79,2010,Post-2010
radial velocity,335.1,9.88,39.43,2009,2000-2010
radial velocity,479.1,3.88,97.28,2008,2000-2010
radial velocity,1078.0,2.53,14.08,1996,Pre-2000
radial velocity,2391.0,0.54,14.08,2001,2000-2010
radial velocity,14002.0,1.64,14.08,2009,2000-2010
radial velocity,4.230785,0.472,15.36,1995,Pre-2000
radial velocity,14.651,0.8,12.53,1996,Pre-2000
radial velocity,44.38,0.165,12.53,2004,2000-2010
radial velocity,4909.0,3.53,12.53,2002,2000-2010
radial velocity,0.73654,1.26,12.53,2011,Post-2010
radial velocity,261.2,0.172,12.53,2007,2000-2010
radial velocity,4.215,0.016,8.52,2009,2000-2010
radial velocity,38.021,0.057,8.52,2009,2000-2010
radial velocity,123.01,0.072,8.52,2009,2000-2010
radial velocity,116.6884,1.26,18.11,1996,Pre-2000
radial velocity,691.9,1.26,81.5,2012,Post-2010
radial velocity,952.7,5.3,97.18,2008,2000-2010
radial velocity,181.4,3.2,45.52,2013,Post-2010
eclipse timing variations,10220.0,6.05,55.25,2009,2000-2010
eclipse timing variations,5767.0,1.26,130.72,2008,2000-2010
eclipse timing variations,3321.0,1.26,130.72,2008,2000-2010
eclipse timing variations,5573.55,1.26,500.0,2010,Post-2010
eclipse timing variations,2883.5,1.26,500.0,2010,Post-2010
eclipse timing variations,2900.0,1.26,55.25,2011,Post-2010
eclipse timing variations,4343.5,4.2,55.25,2012,Post-2010
eclipse timing variations,5840.0,1.26,55.25,2011,Post-2010
eclipse timing variations,1916.25,1.26,55.25,2011,Post-2010
radial velocity,380.8,1.8,20.21,2010,Post-2010
radial velocity,3.2357,0.0036,1.35,2012,Post-2010
imaging,6000.0,1.26,19.28,2008,2000-2010
radial velocity,2502.0,1.55,3.22,2000,2000-2010
radial velocity,417.9,1.26,70.42,2012,Post-2010
radial velocity,594.9,7.6,47.53,2006,2000-2010
radial velocity,428.5,8.78,38.52,2009,2000-2010
radial velocity,903.3,1.85,13.79,2003,2000-2010
radial velocity,1251.0,1.26,31.12,2007,2000-2010
radial velocity,136.75,2.8,62.66,2007,2000-2010
radial velocity,530.32,1.26,46.84,2012,Post-2010
radial velocity,3186.0,1.26,46.84,2012,Post-2010
radial velocity,277.02,1.7,80.64,2013,Post-2010
radial velocity,187.83,1.26,84.03,2012,Post-2010
radial velocity,1630.0,1.26,56.31,2012,Post-2010
radial velocity,39.845,1.04,17.43,1997,Pre-2000
radial velocity,3.3135,3.9,15.6,1996,Pre-2000
radial velocity,305.5,20.6,92.51,2013,Post-2010
radial velocity,4.617033,0.6876,13.47,1996,Pre-2000
radial velocity,241.258,1.981,13.47,1999,Pre-2000
radial velocity,1276.46,4.132,13.47,1999,Pre-2000
radial velocity,3848.86,1.059,13.47,2010,Post-2010
imaging,318280.0,1.26,7.69,2008,2000-2010
imaging,4639.15,1.26,12.21,2009,2000-2010
imaging,7336.5,1.26,25.0,2009,2000-2010
imaging,8679.7,1.26,26.67,2009,2000-2010
radial velocity,655.6,5.1,37.54,2008,2000-2010
radial velocity,714.3,10.6,55.25,2007,2000-2010
radial velocity,3.48777,1.26,80.0,2000,2000-2010
radial velocity,5.6,0.045,42.09,2009,2000-2010
radial velocity,237.6,0.33,42.09,2009,2000-2010
radial velocity,3.8728,0.027,20.1,2013,Post-2010
radial velocity,125.94,0.17,20.1,2013,Post-2010
radial velocity,268.94,1.47,50.03,2009,2000-2010
radial velocity,137.48,1.11,175.44,2013,Post-2010
radial velocity,379.63,21.42,55.25,2009,2000-2010
radial velocity,621.99,12.47,55.25,2009,2000-2010
radial velocity,578.2,1.26,55.25,2012,Post-2010
radial velocity,392.6,0.91,55.25,2011,Post-2010
imaging,10037.5,1.26,23.1,2011,Post-2010
transit,1.5089557,1.26,55.25,2008,2000-2010
transit,1.7429935,1.26,200.0,2008,2000-2010
transit,4.2568,1.26,680.0,2008,2000-2010
transit,9.20205,1.26,55.25,2008,2000-2010
transit,4.0378962,1.26,55.25,2009,2000-2010
transit,8.886593,1.26,55.25,2009,2000-2010
transit,0.853585,1.26,150.0,2009,2000-2010
radial velocity,3.698,1.26,150.0,2009,2000-2010
transit,6.21229,1.26,380.0,2010,Post-2010
transit,95.2738,1.26,460.0,2009,2000-2010
transit,13.2406,1.26,345.0,2010,Post-2010
transit,2.99433,1.26,560.0,2010,Post-2010
transit,2.828042,1.26,1150.0,2010,Post-2010
transit,4.03519,1.26,1060.0,2010,Post-2010
transit,1.51214,1.26,1340.0,2010,Post-2010
transit,5.35227,1.26,840.0,2011,Post-2010
transit,3.7681,1.26,920.0,2011,Post-2010
transit,1.9000693,1.26,870.0,2011,Post-2010
transit,3.89713,1.26,770.0,2011,Post-2010
transit,9.24285,1.26,1230.0,2011,Post-2010
transit,3.6313,1.26,600.0,2011,Post-2010
transit,3.57532,1.26,55.25,2014,Post-2010
astrometry,246.36,1.26,20.77,2013,Post-2010
radial velocity,15.76491,3.91,10.91,1999,Pre-2000
